InvoiceID,Store_Branch,City,Customer_ID,Customer_Name,Gender,Age,Customer_Type,Product_Category,Product_Name,Unit_Price,Quantity,Discount,Tax,Gross_Amount,Discount_Amount,Tax_Amount,Total_Amount,Payment_Method,Purchase_Date,Satisfaction_Rating
INV100000,D,Houston,CUST1317,Traci Wade,Male,31,Non-Member,Smartphones,iPhone 14,829.37,4,5,7.5,3317.48,165.87,236.37,3387.98,UPI,2024-03-18 00:00:00,10
INV100001,C,Chicago,CUST1123,Lisa Weaver,Male,55,Non-Member,Laptops,Lenovo ThinkPad T14,1093.62,1,0,8.45,1093.62,0,92.41,1186.03,Ewallet,2024-04-01 00:00:00,8
INV100002,A,New York,CUST1025,Heather James,Female,45,Member,Laptops,MacBook Air,1445,2,0,8.7,2890,0,251.43,3141.43,UPI,2024-01-26 00:00:00,10
INV100003,D,Houston,CUST1164,Jessica Nelson,Female,57,Member,Appliances,Ninja Air Fryer,136.43,1,15,9.79,136.43,20.46,11.35,127.32,UPI,2024-03-06 00:00:00,6
INV100004,B,Los Angeles,CUST1085,Danny Wong,Female,27,Member,Laptops,Dell XPS 13,1144.43,2,10,8.05,2288.86,228.89,165.83,2225.8,Credit Card,2024-02-08 00:00:00,7
INV100005,B,Los Angeles,CUST1048,Dennis Hall DVM,Male,65,Member,Smartphones,Xiaomi 12T,594.92,2,5,9.7,1189.84,59.49,109.64,1239.99,Credit Card,2024-04-06 00:00:00,10
INV100006,B,Los Angeles,CUST1118,Zachary Wallace,Male,33,Non-Member,Smartphones,OnePlus 11,636.47,1,10,8.33,636.47,63.65,47.72,620.54,Credit Card,2024-01-04 00:00:00,10
INV100007,C,Chicago,CUST1238,Paul Potter,Male,29,Member,Accessories,Logitech MX Master 3 Mouse,106.61,1,20,7.22,106.61,21.32,6.16,91.45,Credit Card,2024-01-12 00:00:00,7
INV100008,D,Houston,CUST1193,Denise Brown,Female,23,Member,Audio,AirPods Pro,269.27,1,10,7.15,269.27,26.93,17.33,259.67,Ewallet,2024-06-20 00:00:00,8
INV100009,A,New York,CUST1378,Andrew Day,Female,39,Member,Accessories,Anker 65W USB-C Charger,48.74,1,0,8.55,48.74,0,4.17,52.91,Cash,2024-04-06 00:00:00,6
INV100010,D,Houston,CUST1095,Justin Martin,Male,38,Non-Member,Smartphones,OnePlus 11,663.75,1,5,7.82,663.75,33.19,49.31,679.87,Credit Card,2024-01-16 00:00:00,10
INV100011,D,Houston,CUST1200,Donald Aguilar,Male,37,Member,Smartphones,iPhone 14,799.37,1,15,9.51,799.37,119.91,64.62,744.08,Ewallet,2024-09-13 00:00:00,6
INV100012,B,Los Angeles,CUST1050,Caitlin Davis,Male,48,Member,Smartphones,Samsung Galaxy S23,916.76,4,10,6.84,3667.04,366.7,225.74,3526.08,Ewallet,2024-07-22 00:00:00,10
INV100013,A,New York,CUST1035,Joseph Shelton,Female,42,Member,Accessories,Anker 65W USB-C Charger,43.73,2,10,7.87,87.46,8.75,6.19,84.91,Credit Card,2024-06-01 00:00:00,7
